epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,608.63,0.55346,0.53243,1.12013,0.96371,0.94637,0.97817,0.9042,0.41056,0.26301,0.914,0.000614,0.000614,0.000614
72,1205.73,0.55924,0.53828,1.12556,0.96446,0.94639,0.9782,0.90421,0.41044,0.26306,0.91385,0.0005942,0.0005942,0.0005942
73,1801.12,0.56125,0.5369,1.12715,0.96379,0.94651,0.97821,0.90421,0.41017,0.26314,0.91351,0.0005744,0.0005744,0.0005744
74,2393.48,0.55577,0.53496,1.12342,0.96454,0.9455,0.97824,0.90395,0.40979,0.26323,0.91314,0.0005546,0.0005546,0.0005546
75,2987.49,0.55346,0.53556,1.12004,0.96489,0.94542,0.97831,0.9042,0.40929,0.26302,0.91269,0.0005348,0.0005348,0.0005348
76,3582.97,0.55288,0.5262,1.12242,0.96528,0.94568,0.97821,0.90416,0.40902,0.26255,0.91246,0.000515,0.000515,0.000515
77,4177.04,0.55108,0.52953,1.12119,0.96533,0.94581,0.97825,0.90407,0.40888,0.26233,0.91226,0.0004952,0.0004952,0.0004952
78,4771.81,0.54705,0.52397,1.1168,0.96658,0.94449,0.9783,0.90409,0.4087,0.26197,0.91203,0.0004754,0.0004754,0.0004754
79,5365.89,0.55292,0.5273,1.12144,0.96744,0.94386,0.97828,0.90483,0.40838,0.2618,0.91175,0.0004556,0.0004556,0.0004556
80,5958.8,0.54435,0.52437,1.11452,0.968,0.94364,0.9784,0.90487,0.40803,0.26144,0.91128,0.0004358,0.0004358,0.0004358
81,6551.23,0.54205,0.521,1.11308,0.96755,0.94305,0.97835,0.905,0.40767,0.26119,0.91092,0.000416,0.000416,0.000416
82,7145.17,0.54328,0.5144,1.11311,0.96514,0.94421,0.97836,0.90511,0.40731,0.26096,0.91059,0.0003962,0.0003962,0.0003962
83,7737.61,0.54173,0.51988,1.11504,0.968,0.94324,0.97843,0.90529,0.40705,0.26045,0.91032,0.0003764,0.0003764,0.0003764
84,8329.51,0.54143,0.5174,1.11299,0.96692,0.94448,0.97849,0.90534,0.40692,0.26024,0.91019,0.0003566,0.0003566,0.0003566
85,8921.72,0.53908,0.51945,1.11231,0.96689,0.94497,0.97852,0.90509,0.40674,0.26012,0.90997,0.0003368,0.0003368,0.0003368
86,9513.31,0.3903,0.23209,1.07695,0.96636,0.94575,0.97857,0.90539,0.40682,0.25993,0.91003,0.000317,0.000317,0.000317
87,10103.9,0.37382,0.21905,1.06195,0.96563,0.94568,0.97848,0.90556,0.40655,0.25996,0.90977,0.0002972,0.0002972,0.0002972
88,10694.6,0.36965,0.21528,1.0567,0.96389,0.94736,0.97857,0.9057,0.40592,0.25943,0.90918,0.0002774,0.0002774,0.0002774
89,11285.4,0.35496,0.20991,1.04552,0.96331,0.94848,0.97867,0.906,0.40521,0.25892,0.90866,0.0002576,0.0002576,0.0002576
90,11874.8,0.35312,0.20636,1.04455,0.96619,0.94602,0.97875,0.90643,0.40439,0.25887,0.90801,0.0002378,0.0002378,0.0002378
91,12464.7,0.35004,0.20186,1.03705,0.96544,0.9469,0.97881,0.90673,0.40351,0.25859,0.90725,0.000218,0.000218,0.000218
92,13054.3,0.34529,0.19883,1.03369,0.96499,0.94708,0.97894,0.90684,0.40229,0.25793,0.90619,0.0001982,0.0001982,0.0001982
93,13643.9,0.33788,0.19553,1.02944,0.96363,0.94728,0.97904,0.90716,0.40128,0.25723,0.90536,0.0001784,0.0001784,0.0001784
94,14235.5,0.33929,0.19362,1.02914,0.9674,0.94539,0.97917,0.90701,0.40038,0.25641,0.90449,0.0001586,0.0001586,0.0001586
95,14826.3,0.33249,0.18966,1.02442,0.96682,0.94553,0.97923,0.90726,0.39935,0.25564,0.90359,0.0001388,0.0001388,0.0001388
96,15418.8,0.32916,0.19023,1.02127,0.96616,0.946,0.97928,0.90801,0.39843,0.25514,0.90272,0.000119,0.000119,0.000119
97,16010.3,0.33047,0.18742,1.0187,0.96604,0.9461,0.97922,0.90824,0.39753,0.25466,0.90191,9.92e-05,9.92e-05,9.92e-05
98,16602.2,0.32664,0.18636,1.01507,0.96582,0.94649,0.97926,0.9085,0.39674,0.25365,0.90118,7.94e-05,7.94e-05,7.94e-05
99,17193.9,0.32449,0.18469,1.01509,0.96606,0.94589,0.97926,0.90832,0.39607,0.25321,0.90057,5.96e-05,5.96e-05,5.96e-05
100,17785.1,0.32267,0.1837,1.01477,0.96582,0.94582,0.97926,0.90853,0.3953,0.25292,0.89983,3.98e-05,3.98e-05,3.98e-05
